챔피언,전체승률,분석판수,승률1위_조합,승률1위_WR,승률1위_판수,승률2위_조합,승률2위_WR,승률2위_판수,승률3위_조합,승률3위_WR,승률3위_판수,판수1위_조합,판수1위_WR,판수1위_판수,판수2위_조합,판수2위_WR,판수2위_판수,판수3위_조합,판수3위_WR,판수3위_판수
자헨,58.8%,97,갈라진 하늘 + 쇼진의 창,61.9%,42,-,-,-,-,-,-,갈라진 하늘 + 쇼진의 창,61.9%,42,-,-,-,-,-,-
올라프,57.8%,282,발걸음 분쇄기 + 갈라진 하늘,69.2%,26,발걸음 분쇄기 + 죽음의 무도,68.4%,19,실험적 마공학판 + 발걸음 분쇄기,67.6%,37,발걸음 분쇄기 + 실험적 마공학판,56.2%,48,실험적 마공학판 + 발걸음 분쇄기,67.6%,37,발걸음 분쇄기 + 갈라진 하늘,69.2%,26
잔나,57.7%,821,구원 + 불타는 향로,73.3%,15,대천사의 포옹 + 제국의 명령,70.0%,10,월석 재생기 + 구원,69.8%,63,제국의 명령 + 대천사의 포옹,58.4%,101,월석 재생기 + 구원,69.8%,63,제국의 명령 + 구원,49.1%,53
리산드라,57.4%,784,존야의 모래시계 + 루덴의 메아리,80.0%,10,영겁의 지팡이 + 존야의 모래시계,76.2%,21,영겁의 지팡이 + 악의,69.2%,13,악의 + 존야의 모래시계,56.2%,185,존야의 모래시계 + 악의,61.3%,93,존야의 모래시계 + 그림자불꽃,44.4%,45
닐라,57.1%,347,무한의 대검 + 징수의 총,63.6%,11,징수의 총 + 무한의 대검,58.4%,125,징수의 총 + 불멸의 철갑궁,53.3%,30,징수의 총 + 무한의 대검,58.4%,125,징수의 총 + 불멸의 철갑궁,53.3%,30,징수의 총 + 나보리 명멸검,50.0%,30
노틸러스,56.3%,1009,강철심장 + 혹한의 손길,80.0%,10,강철심장 + 란두인의 예언,78.6%,14,종말의 겨울 + 워모그의 갑옷,65.2%,23,강철심장 + 종말의 겨울,54.5%,233,종말의 겨울 + 강철심장,57.1%,91,강철심장 + 끝없는 절망,54.7%,64
사이온,55.8%,730,강철심장 + 종말의 겨울,83.3%,12,거대한 히드라 + 강철심장,70.0%,10,강철심장 + 거대한 히드라,64.7%,34,강철심장 + 끝없는 절망,62.8%,191,강철심장 + 워모그의 갑옷,54.8%,62,강철심장 + 가시 갑옷,55.0%,40
브라움,55.4%,663,강철심장 + 워모그의 갑옷,78.3%,23,종말의 겨울 + 해신 작쇼,75.0%,12,강철의 솔라리 펜던트 + 종말의 겨울,70.8%,24,강철심장 + 종말의 겨울,55.9%,127,종말의 겨울 + 끝없는 절망,53.6%,56,종말의 겨울 + 강철심장,55.0%,40
오른,55.2%,625,워모그의 갑옷 + 끝없는 절망,90.0%,10,강철심장 + 공허한 광휘,70.0%,10,강철심장 + 워모그의 갑옷,69.4%,49,강철심장 + 끝없는 절망,49.6%,121,강철심장 + 워모그의 갑옷,69.4%,49,강철심장 + 종말의 겨울,54.3%,46
스카너,55.0%,438,종말의 겨울 + 끝없는 절망,72.7%,33,끝없는 절망 + 종말의 겨울,61.5%,13,강철심장 + 종말의 겨울,56.0%,134,강철심장 + 종말의 겨울,56.0%,134,종말의 겨울 + 강철심장,53.1%,49,종말의 겨울 + 끝없는 절망,72.7%,33
