챔피언,전체승률,분석판수,승률1위_조합,승률1위_WR,승률1위_판수,승률2위_조합,승률2위_WR,승률2위_판수,승률3위_조합,승률3위_WR,승률3위_판수,판수1위_조합,판수1위_WR,판수1위_판수,판수2위_조합,판수2위_WR,판수2위_판수,판수3위_조합,판수3위_WR,판수3위_판수
트런들,66.2%,74,제국의 명령 + 종말의 겨울,100.0%,5,종말의 겨울 + 제국의 명령,50.0%,6,-,-,-,종말의 겨울 + 제국의 명령,50.0%,6,제국의 명령 + 종말의 겨울,100.0%,5,-,-,-
나서스,65.6%,61,삼위일체 + 얼어붙은 심장,72.7%,11,어둠불꽃 횃불 + 리안드리의 고통,66.7%,12,-,-,-,어둠불꽃 횃불 + 리안드리의 고통,66.7%,12,삼위일체 + 얼어붙은 심장,72.7%,11,-,-,-
밀리오,61.3%,106,월석 재생기 + 불타는 향로,85.7%,7,월석 재생기 + 대천사의 포옹,75.0%,12,구원 + 월석 재생기,71.4%,7,월석 재생기 + 구원,60.0%,15,월석 재생기 + 대천사의 포옹,75.0%,12,구원 + 월석 재생기,71.4%,7
신지드,61.3%,80,라일라이의 수정홀 + 종말의 겨울,80.0%,5,영겁의 지팡이 + 라일라이의 수정홀,52.4%,21,-,-,-,영겁의 지팡이 + 라일라이의 수정홀,52.4%,21,라일라이의 수정홀 + 종말의 겨울,80.0%,5,-,-,-
피오라,61.0%,59,삼위일체 + 굶주린 히드라,66.7%,15,굶주린 히드라 + 삼위일체,63.6%,11,굶주린 히드라 + 갈라진 하늘,57.1%,7,삼위일체 + 굶주린 히드라,66.7%,15,굶주린 히드라 + 삼위일체,63.6%,11,굶주린 히드라 + 갈라진 하늘,57.1%,7
렉사이,60.5%,38,강철심장 + 끝없는 절망,53.8%,13,-,-,-,-,-,-,강철심장 + 끝없는 절망,53.8%,13,-,-,-,-,-,-
마오카이,60.0%,155,강철심장 + 끝없는 절망,87.5%,8,종말의 겨울 + 강철심장,76.5%,17,끝없는 절망 + 종말의 겨울,57.1%,7,강철심장 + 종말의 겨울,54.8%,31,종말의 겨울 + 강철심장,76.5%,17,종말의 겨울 + 끝없는 절망,53.8%,13
리븐,59.6%,89,갈라진 하늘 + 죽음의 무도,83.3%,6,갈라진 하늘 + 월식,76.9%,13,월식 + 갈라진 하늘,45.5%,22,월식 + 갈라진 하늘,45.5%,22,갈라진 하늘 + 월식,76.9%,13,갈라진 하늘 + 죽음의 무도,83.3%,6
럼블,59.6%,156,악의 + 그림자불꽃,80.0%,5,리안드리의 고통 + 핏빛 저주,70.0%,10,리안드리의 고통 + 악의,65.4%,26,리안드리의 고통 + 악의,65.4%,26,리안드리의 고통 + 균열 생성기,45.5%,22,악의 + 리안드리의 고통,53.3%,15
워윅,59.4%,32,갈라진 하늘 + 몰락한 왕의 검,33.3%,6,-,-,-,-,-,-,갈라진 하늘 + 몰락한 왕의 검,33.3%,6,-,-,-,-,-,-
